,couple_id,QUESTIONS,user_id1,user_id2,key,1_1,2_1,3_1,4_1,5_1,1_2,2_2,3_2,4_2,5_2
0,couple_0,"[17, 10, 12, 0, 20]",149980796,245709644,key_149980796,,,,,,,3.0,,1.0,
1,couple_0,"[23, 13, 3, 7, 19]",149980796,245709644,key_149980796,,,,,,,,,,
2,couple_0,"[27, 23, 23, 16, 27]",149980796,245709644,key_149980796,,,,,,,,,,
3,couple_0,"[23, 1, 0, 0, 24]",149980796,245709644,key_149980796,,,,,,,,,,
4,couple_0,"[16, 13, 26, 26, 17]",149980796,245709644,key_149980796,,,,,,,,,,
5,couple_0,"[28, 17, 20, 22, 8]",149980796,245709644,key_149980796,,,,,,,,,,
6,couple_0,"[19, 2, 7, 4, 0]",149980796,245709644,key_149980796,,,,,,,,,,
7,couple_0,"[10, 23, 21, 13, 0]",149980796,245709644,key_149980796,,,,,,,,,,
8,couple_0,"[3, 19, 27, 15, 24]",149980796,245709644,key_149980796,,,,,,1.0,,,5.0,3.0
9,couple_0,"[12, 1, 17, 2, 11]",149980796,245709644,key_149980796,,,,,,,,,,
10,couple_0,"[20, 16, 4, 16, 12]",149980796,245709644,key_149980796,,,,,,,,,,
11,couple_0,"[17, 26, 12, 17, 29]",149980796,245709644,key_149980796,,,,,,,,,,
12,couple_0,"[23, 28, 25, 25, 4]",149980796,245709644,key_149980796,,,,,,,,,,
13,couple_0,"[17, 22, 17, 23, 15]",vk_154502531,tg_245709644,key_b0a1f350-1e9,,,,,,3.0,,,,
14,couple_0,"[29, 8, 18, 2, 23]",vk_154502531,tg_245709644,key_b0a1f350-1e9,,,,,,,,,,
15,couple_0,"[6, 13, 23, 28, 11]",tg_245709644,vk_154502531,key_c7ac77cc-1f6,,,,,,3.0,,1.0,,
16,couple_0,"[18, 4, 14, 0, 21]",tg_245709644,vk_154502531,key_c7ac77cc-1f6,3.0,1.0,,5.0,,,,,,
17,couple_0,"[0, 21, 4, 29, 21]",tg_245709644,vk_154502531,key_c7ac77cc-1f6,,,,,,,,,,
18,couple_0,"[7, 28, 28, 0, 13]",tg_245709644,vk_154502531,key_c7ac77cc-1f6,,,,,,,,,,
19,couple_0,"[15, 27, 15, 2, 2]",tg_245709644,vk_154502531,key_c7ac77cc-1f6,,,,,,,,,,
20,couple_0,"[2, 11, 10, 14, 26]",tg_245709644,vk_154502531,key_c7ac77cc-1f6,5.0,3.0,,1.0,,,,,,
21,couple_0,"[13, 26, 21, 27, 29]",tg_245709644,vk_154502531,key_c7ac77cc-1f6,,,,,,,1.0,,,
22,couple_0,"[24, 7, 20, 0, 27]",tg_245709644,vk_154502531,key_c7ac77cc-1f6,,,,,,,,,,
23,couple_0,"[26, 19, 15, 25, 13]",tg_245709644,vk_154502531,key_c7ac77cc-1f6,,,,,,,,,,
24,couple_0,"[1, 28, 14, 15, 8]",tg_245709644,vk_154502531,key_c7ac77cc-1f6,,,,,,,,,,
25,couple_0,"[29, 19, 13, 1, 7]",tg_245709644,vk_154502531,key_c7ac77cc-1f6,,,,,,,,,,
26,couple_0,"[17, 29, 22, 26, 5]",tg_245709644,vk_154502531,key_c7ac77cc-1f6,,,,,,,,,,
27,couple_0,"[29, 16, 2, 21, 13]",tg_245709644,vk_154502531,key_c7ac77cc-1f6,,,,,,,,,,
28,couple_0,"[27, 22, 29, 7, 22]",tg_245709644,vk_154502531,key_c7ac77cc-1f6,,,,,,,,,,
29,couple_0,"[12, 19, 26, 12, 19]",tg_245709644,vk_154502531,key_c7ac77cc-1f6,,,,,,,,,,
0,couple_0,"[14, 14, 10, 5, 2]",tg_245709644,vk_154502531,key_c7ac77cc-1f6,3.0,5.0,,1.0,,,,,,
